Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1764520115,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1764520116,2,,Aggregated,0.000000,0.000000,8,8,11,11,11,11,11,11,11,11,11,6,0,4,6.64888849981556,2.629250000609318,10.73266599996714,482.6666666666667
1764520117,4,,Aggregated,0.000000,0.000000,6,6,7,8,11,11,11,11,11,11,11,14,0,5,5.9621962855089805,2.629250000609318,10.73266599996714,507.57142857142856
1764520118,6,,Aggregated,6.000000,0.000000,6,6,7,8,9,11,11,11,11,11,11,21,0,6,6.05209119047296,2.629250000609318,10.73266599996714,443.0952380952381
1764520119,8,,Aggregated,6.000000,0.000000,5,6,7,8,9,11,11,11,11,11,11,29,0,5,5.953755620606083,2.629250000609318,10.73266599996714,394.1034482758621
1764520120,10,,Aggregated,7.000000,0.000000,6,6,7,8,9,11,11,11,11,11,11,40,1,6,5.931891599993833,2.629250000609318,10.73266599996714,388.1
1764520121,10,,Aggregated,7.250000,0.000000,6,6,7,8,9,10,11,11,11,11,11,46,1,6,6.100150282572545,2.629250000609318,10.73266599996714,401.5869565217391
1764520122,10,,Aggregated,8.000000,0.200000,6,7,8,8,9,10,11,11,11,11,11,52,2,6,6.270754730744207,2.629250000609318,10.73266599996714,394.5576923076923
1764520123,10,,Aggregated,8.000000,0.200000,6,7,8,8,9,10,11,11,11,11,11,55,2,6,6.245592345426716,2.629250000609318,10.73266599996714,408.3818181818182
1764520124,10,,Aggregated,7.285714,0.142857,6,7,8,8,9,10,11,11,11,11,11,64,3,6,6.285279234305108,2.629250000609318,10.73266599996714,408.359375
1764520125,10,,Aggregated,7.285714,0.142857,6,7,8,8,9,10,11,11,11,11,11,67,3,6,6.310561507383844,2.629250000609318,10.73266599996714,421.4029850746269
1764520126,10,,Aggregated,7.000000,0.222222,6,7,8,8,9,10,11,11,11,11,11,73,5,6,6.3444114793414945,2.629250000609318,10.73266599996714,404.47945205479454
1764520127,10,,Aggregated,7.000000,0.222222,6,7,8,8,10,10,11,11,11,11,11,78,6,6,6.461020794794865,2.629250000609318,10.73266599996714,408.78205128205127
1764520128,10,,Aggregated,6.600000,0.400000,6,7,8,8,9,10,11,11,11,11,11,83,7,6,6.497620445694031,2.629250000609318,10.73266599996714,397.6144578313253
1764520129,10,,Aggregated,6.400000,0.600000,6,7,8,8,10,10,11,11,11,11,11,89,8,6,6.504628718993332,2.629250000609318,10.73266599996714,417.5730337078652
1764520130,10,,Aggregated,6.400000,0.600000,6,7,8,8,9,10,11,11,11,11,11,93,9,6,6.496382128941433,2.629250000609318,10.73266599996714,422.55913978494624
1764520131,10,,Aggregated,5.900000,0.800000,6,7,8,8,9,10,11,11,11,11,11,98,10,6,6.403396224395321,2.2513749991048826,10.73266599996714,433.1224489795918
1764520132,10,,Aggregated,5.300000,0.800000,6,7,8,8,10,10,11,11,11,11,11,104,13,6,6.478251576814168,2.2513749991048826,11.267125000813394,421.6057692307692
1764520133,10,,Aggregated,5.300000,0.800000,6,7,8,8,10,10,11,11,11,11,11,109,16,6,6.4672392751046175,2.2513749991048826,11.267125000813394,414.42201834862385
1764520134,10,,Aggregated,5.200000,1.100000,6,7,7,8,9,10,11,11,11,11,11,114,18,6,6.439513859508575,2.2513749991048826,11.267125000813394,427.4561403508772
1764520135,10,,Aggregated,5.200000,1.100000,6,7,7,8,9,10,11,11,11,11,11,117,18,6,6.41623430753972,2.2513749991048826,11.267125000813394,426.44444444444446
1764520136,10,,Aggregated,5.400000,1.400000,6,7,7,8,9,10,11,11,11,11,11,120,19,6,6.364965591531775,2.2513749991048826,11.267125000813394,425.73333333333335
1764520137,10,,Aggregated,5.000000,1.600000,6,7,7,8,10,10,11,11,11,11,11,126,21,6,6.407904063385176,2.2513749991048826,11.267125000813394,424.43650793650795
1764520138,10,,Aggregated,5.000000,1.500000,6,7,7,8,10,10,11,11,11,11,11,130,21,6,6.427057338344009,2.2513749991048826,11.267125000813394,428.7230769230769
1764520139,10,,Aggregated,4.800000,1.500000,6,7,7,8,10,10,11,11,11,11,11,135,23,6,6.431578666538202,2.2513749991048826,11.267125000813394,431.06666666666666
